内部ID	类别编码	类别名称	类别说明
0002002900040003	22943	保温瓶设备	
0002002900040004	22944	器皿设备	
0002002900040005	22945	灯泡设备	
0002002900040009	22949	其他玻璃制品加工专用设备	
000200290005	2295	陶瓷制品生产设备	
0002002900050001	22951	陶瓷制品成型设备	
0002002900050002	22952	备料设备	
0002002900050005	22955	施釉设备	
0002002900050009	22959	其他陶瓷制品生产设备	
000200290006	2296	墙体地面材料	
0002002900060001	22961	砖瓦坯条加工设备	
0002002900060002	22962	水磨石制坯机械	
0002002900060003	22963	砖和砌块成型设备	
0002002900060004	22964	制瓦机	
0002002900060005	22965	石膏板生产设备	
0002002900060006	22966	加气混凝土生产设备	
0002002900060009	22969	其他墙体地面材料生产设备	
000200290007	2297	石棉耐火制品及其他非金属矿物制品设备	
0002002900070001	22971	石棉水泥制品设备	
0002002900070002	22972	石棉制品设备	
0002002900070003	22973	铸石制品设备	
0002002900070004	22974	陶粒生产设备	
0002002900070005	22975	沥青毡生产设备	
0002002900070006	22976	饰墙材料生产设备	
0002002900070007	22977	耐火材料生产设备	
0002002900070008	22978	炭素制品生产设备	
0002002900070009	22979	其他石棉耐火制品其他非金嘱矿物制品设备	
000200290008	2298	非金属矿物切削加工设备	
0002002900080001	22981	光学材料和玻璃加工机床	
0002002900080002	22982	石材加工机床	
0002002900080003	22983	水泥等非金属矿物制品加工机床	
0002002900090000	22990	其他非金属矿物制品工业专用设备	
00020030	230	核工业专用设备	
000200300001	2301	核反应堆专用设备	
0002003000010001	23011	核反应堆系统	
0002003000010002	23012	反应堆监测控制系统	
0002003000010003	23013	反应堆保护系统	
0002003000010004	23014	扩散分离设备	
0002003000010009	23019	其他核反应堆专用设备	
000200300002	2302	核用矿冶设备	
0002003000020001	23021	放射性分选机	
0002003000020002	23022	分级设备	
0002003000020004	23024	核用水冶设备	
000200300003	2303	核电站设备	
0002003000030001	23031	核电站一回路系统	
0002003000030002	23032	核电站二回路系统	
0002003000030004	23034	核聚变试验装置	
0002003000040000	23040	核电辅助系统专用设备	
0002003000050000	23050	核燃料运输贮存与装卸系统	
0002003000060000	23060	放射性废物处理系统	
0002003000070000	23070	核地勘专用设备	
0002003000080000	23080	核电站其他专用系统	
000200300009	2309	其他核工业专用设备	
0002003000090001	23091	核聚变试验装置	
0002003000090002	23092	辐照站设备	
00020031	231	航空航天工业专用设备	
000200310001	2311	飞机火箭导弹卫星总装调试设备	
0002003100010001	23111	火箭导弹总装调试设备	
0002003100010002	23112	卫星总装调试设备	
0002003100010003	23113	飞机总装调试专用设备	
000200310002	2312	弹（星）体加工专用设备	
0002003100020001	23121	弹体加工设备	
0002003100020002	23122	星体加工设备	
000200310003	2313	发动机专用设备	
0002003100030001	23131	固体发动机专用设备	
0002003100030002	23132	液体发动机专用设备	
0002003100030009	23139	其他发动机专用设备	
000200310004	2314	驾驶系统专用设备	
0002003100040001	23141	自动驾驶仪专用设备	
0002003100040002	23142	平台陀螺专用设备	
0002003100040003	23143	伺服机构专用设备	
0002003100040004	23144	舵机专用设备	
000200310005	2315	战斗部火工专用设备	
0002003100050001	23151	战斗部专用设备	
0002003100050002	23152	火工品专用设备	
0002003100060003	23163	制造地面系统设备专用设备	
000200310007	2317	试验专用设备	
0002003100070001	23171	环境模拟试验专用设备	
0002003100070002	23172	空气动力试验专用设备	
000200310008	2318	全弹发动机试车台	
0002003100080001	23181	全弹试车台	
0002003100080002	23182	液体发动机试车台	
0002003100080003	23183	冲压发动机试车台	
0002003100080004	23184	固体发动机试车台	
0002003100080005	23185	高空试车台	
0002003100080006	23186	组成件试车台	
0002003100080007	23187	氢氧发动机试车台	
0002003100080009	23189	其他全弹发动机试车台	
0002003100090000	23190	其他航空航天工业专用制造设备	
00020032	232	兵器工业专用设备	
000200320001	2321	坦克车辆和发动机专用设备	
0002003200010001	23211	坦克车辆专用设备	
0002003200010002	23212	军用发动机专用设备	
0002003200020000	23220	火炮专用设备	
0002003200030000	23230	枪械专用设备	
000200320004	2324	炮弹枪弹专业设备	
0002003200040001	23241	炮弹专业设备	
0002003200040002	23242	枪弹专业设备	
0002003200050000	23250	引信专用设备	
0002003200060000	23260	火工品专用设备	
000200320007	2327	火炸药专用设备	
0002003200070001	23271	炸药专用设备	
0002003200070002	23272	发射药专用设备	
0002003200080000	23280	防化专用设备	
0002003200090000	23290	光学仪器专用设备	
00020033	233	工程机械	
000200330001	2331	工程掘进机械	
0002003300010002	23312	成型断面掘进机	
0002003300010003	23313	巷道隧道掘进机	
0002003300010009	23319	其他工程掘进机	
000200330002	2332	挖掘机	
0002003300020001	23321	单斗挖掘机	
0002003300020002	23322	多斗挖掘机	
0002003300020003	23323	挖掘装载机	
0002003300020004	23324	船用和沼泽地挖掘机	
0002003300020005	23325	开沟铺管机和开沟机	
0002003300020008	23328	挖掘机辅助设备	
0002003300020009	23329	其他挖掘机	
000200330003	2333	铲土运输机械	
0002003300030001	23331	推土机	
0002003300030002	23332	装载机	
0002003300030003	23333	铲运机	
0002003300030004	23334	铲抛机	
0002003300030005	23335	平地机	
0002003300030009	23339	其他铲运机械	
000200330004	2334	压实机械	
0002003300040001	23341	静作用压路机	
0002003300040002	23342	振动压路机	
0002003300040003	23343	冲击作用夯实机	
000200330005	2335	桩工机械	
0002003300050001	23351	柴油桩锤	
0002003300050002	23352	蒸汽桩锤	
0002003300050003	23353	振动桩锤	
0002003300050004	23354	静作用压拔桩机	
0002003300050005	23355	水泥沉桩设备	
0002003300050009	23359	其他桩工机械	
000200330006	2336	混凝土和灰浆机械	
0002003300060001	23361	混凝土搅拌楼	
0002003300060002	23362	混凝土搅拌站	
0002003300060003	23363	混凝土和灰浆搅拌机	
0002003300060004	23364	混凝土浇注机械	
0002003300060005	23365	混凝土喷射机	
0002003300060006	23366	混凝土振动机械	
0002003300060007	23367	混凝土搅拌动输车	
0002003300060009	23369	其他混凝土和灰浆机械	
000200330007	2337	路面机械	
0002003300070001	23371	土壤稳定机械	
0002003300070002	23372	碎石路面修筑机械	
0002003300070003	23373	沥青路面摊铺机械	
0002003300070004	23374	混凝土路面修筑机械	
0002003300070005	23375	养路机械	
000200330009	2339	其他工程机械	
0002003300090001	23391	建筑装修机械	
00020034	234	农业和林业机械	
000200340001	2341	拖拉机	
0002003400010001	23411	轮式拖拉机	
0002003400010002	23412	履带拖拉机	
0002003400010003	23413	小四轮拖拉机	
0002003400010004	23414	手扶拖拉机	
0002003400010005	23415	机耕船（水田拖拉机）	
0002003400010007	23417	集材拖拉机	
0002003400010009	23419	其他拖拉机	
000200340002	2342	土壤耕整机械	
0002003400020001	23421	犁	
0002003400020002	23422	耙	
0002003400020003	23423	旋耕机	
0002003400020004	23424	镇压器	
0002003400020005	23425	整地机和平地机	
0002003400020006	23426	松土机和合墒器	
0002003400020007	23427	林地清理机械	
0002003400020009	23429	其他土壤耕整机械	
000200340003	2343	种植机械	
0002003400030001	23431	播种机	
0002003400030002	23432	苗秧准备机械	
0002003400030003	23433	拔秧机起苗机	
0002003400030004	23434	插秧机播条机	
0002003400030005	23435	移栽机植树机栽植机	
0002003400030006	23436	分蘖与压条机	
0002003400030007	23437	地膜覆盖机	
0002003400030008	23438	无土壤种植机	
0002003400030009	23439	其他种植机械	
000200340004	2344	植物管理机械	
0002003400040001	23441	中耕机	
0002003400040002	23442	培土机	
0002003400040003	23443	灭茬机	
0002003400040004	23444	施肥机	
0002003400040006	23446	除草机修剪机	
0002003400040007	23447	间苗机	
0002003400040008	23448	浇灌机械	
0002003400040009	23449	其他植物管理机械	
000200340005	2345	植物保护机械	
0002003400050001	23451	喷雾机（器）	
0002003400050002	23452	打药设备	
0002003400050003	23453	弥雾喷粉机	
0002003400050004	23454	喷雾喷粉联合机	
0002003400050005	23455	熏烟器	
0002003400050006	23456	土壤消毒器	
0002003400050007	23457	森林灭火机	
0002003400050009	23459	其他植物保护机械	
000200340006	2346	农作物收获机械	
0002003400060001	23461	谷物收割机	
0002003400060002	23462	高杆作物收割机	
0002003400060003	23463	块根作物收获机	
0002003400060004	23464	棉花收割机	
0002003400060005	23465	采茶机	
0002003400060007	23467	草籽收获收	
0002003400060008	23468	干草和专贮饲料收获机械	
0002003400060009	23469	其他农村作物收获机械	
000200340007	2347	场上作业机械	
0002003400070001	23471	脱粒机	
0002003400070002	23472	扬场机	
0002003400070003	23473	清选机	
0002003400070004	23474	种子清选机	
0002003400070005	23475	切脱机	
0002003400070006	23476	玉米剥皮机	
0002003400070007	23477	谷物烘干机	
0002003400070009	23479	其他场上作业机械	
000200340009	2349	其他农业和林业机械	
0002003400090001	23491	农副土特产初加工机械	
00020035	235	畜牧和渔业机械	
000200350001	2351	草原建设机械	
0002003500010001	23511	围栏设备	
0002003500010002	23512	草皮破碎机	
0002003500010003	23513	草原除雪机	
0002003500010004	23514	毒饵撒播机	
0002003500010005	23515	埋桩机	
0002003500010006	23516	梳草机	
0002003500010007	23517	起草皮机	
0002003500010009	23519	其他草原建设机械	
000200350002	2352	畜禽昆虫饲养及配种机械	
0002003500020001	23521	采精设备	
0002003500020002	23522	输精器	
0002003500020003	23523	禽类孵化育雏设备	
0002003500020004	23524	养禽设备	
0002003500020005	23525	养畜设备	
0002003500020006	23526	养昆虫设备	
0002003500020007	23527	禽畜药浴设备和免疫设备	
0002003500020009	23529	其他畜禽昆虫饲养及配种机械	
000200350003	2353	畜禽产品采集加工机械	
0002003500030001	23531	剪羊毛机	
0002003500030002	23532	抓绒机	
0002003500030003	23533	挤奶机	
0002003500030004	23534	鲜奶贮存设备	
0002003500030005	23535	手动摇蜜机	
0002003500030006	23536	猪鬃顺根机	
0002003500030009	23539	其他畜禽产品采集加工机械	
000200350004	2354	水产品养殖机械	
0002003500040001	23541	鱼类苗种孵化设备	
0002003500040002	23542	投饵机械	
0002003500040003	23543	增氧机械	
0002003500040004	23544	水净化机械	
0002003500040005	23545	网箱养鱼设备	
0002003500040006	23546	拦鱼设备	
0002003500040007	23547	水生植物养植机械	
0002003500040009	23549	其他水产品养殖机械	
000200350005	2355	水产品捕捞和采集机械	
0002003500050001	23551	海洋捕捞机械	
0002003500050002	23552	淡水捕捞机械	
0002003500050003	23553	水生植物采集机械	
0002003500050009	23559	其他水产品捕捞和采集机械	
000200350006	2356	鱼货起卸和冻结保鲜设备	
0002003500060001	23561	潜水吸渔泵	
0002003500060002	23562	船用吸鱼机	
0002003500060003	23563	码头吸鱼机	
0002003500060004	23564	鱼货出仓机	
0002003500060005	23565	卧式平板冻结机	
0002003500060006	23566	立式平板冻结机	
0002003500060007	23567	制冷冻结两用平板冻结机	
0002003500060009	23569	其他鱼货起卸冻结保鲜设备	
000200350007	2357	制网机械	
0002003500070001	23571	织网机	
0002003500070002	23572	制绳机	
0002003500070003	23573	并线机	
0002003500070009	23579	其他制网机械	
0002003500090000	23590	其他畜牧业和渔业机械	
00020036	236	木材采集和加工设备	
000200360001	2361	木材采伐和集动机械	
0002003600010001	23611	采伐机械	
0002003600010002	23612	集材机	
0002003600010003	23613	专用运材设备	
0002003600010009	23619	其他木材采伐和集运机械	
000200360002	2362	木工机床	
0002003600020001	23621	木工车床	
0002003600020002	23622	木工刨床	
0002003600020003	23623	木工铣床及开榫机	
0002003600020004	23624	木工锯机	
0002003600020005	23625	木工钻床及榫槽机	
0002003600020006	23626	木工磨光抛光机	
0002003600020007	23627	木工多用机床	
0002003600020009	23629	其他木工机床	
000200360003	2363	木质纤维加工设备	
0002003600030001	23631	备料设备	
0002003600030002	23632	纤维加工分离机械	
0002003600030009	23639	其他木质纤维加工设备	
000200360004	2364	木质人造板加工设备	
0002003600040001	23641	胶合板设备	
0002003600040002	23642	刨花板设备	
0002003600040003	23643	纤维板设备	
0002003600040004	23644	单板通用设备	
0002003600040009	23649	其他木质人造板加工设备	
000200360005	2365	木材处理机械	
0002003600050001	23651	木材干燥设备	
0002003600050002	23652	木材防腐设备	
0002003600050009	23659	其他木材处理机械	
0002003600090000	23690	其他木材采集和加工机械	
00020037	237	食品工业专用设备	
000200370001	2371	制糖机械	
0002003700010001	23711	原料处理设备	
0002003700010002	23712	提汁设备	
0002003700010003	23713	制炼设备	
0002003700010004	23714	废粕综合利用设备	
0002003700010009	23719	其他制糖机械	
000200370002	2372	糕点糖果及果品加工机械	
0002003700020001	23721	糕点类原料加工机械	
0002003700020002	23722	饼干加工机	
0002003700020003	23723	糕点加工机	
0002003700020004	23724	糖果加工备料机械	
0002003700020005	23725	糖果加工成型机械	
0002003700020007	23727	果品加工机械	
0002003700020008	23728	糕点糖果果品生产线	
0002003700020009	23729	其他糕点糖果果品生产设备	
000200370003	2373	菜类食品加工机械	
0002003700030001	23731	蔬菜加工机械	
0002003700030002	23732	豆制品加工机械	
0002003700030003	23733	淀粉制品加工机械	
0002003700030009	23739	其他菜类食品加工机械	
000200370004	2374	屠宰肉食品及蛋品加工机械	
0002003700040001	23741	屠宰机械	
0002003700040002	23742	肉类加工机械	
0002003700040003	23743	乳品加工机械	
0002003700040004	23744	蛋品加工设备	
0002003700040005	23745	水产品加工机械	
0002003700040009	23749	其他屠宰肉食及蛋品加工机械	
000200370005	2375	食品蒸煮杀菌均质机械	
0002003700050001	23751	蒸煮机械	
0002003700050002	23752	杀菌器械	
0002003700050003	23753	均质机	
0002003700050009	23759	其他食品蒸煮杀菌均质机械	
000200370006	2376	调味品加工机械	
0002003700060001	23761	味精加工机械	
0002003700060002	23762	酱制品加工机械	
0002003700060003	23763	酱油加工机械	
0002003700060004	23764	食醋加工机械	
0002003700060009	23769	其他调味品加工机械	
000200370007	2377	罐头食品生产线	
0002003700070001	23771	肉类罐头加工线	
0002003700070002	23772	蔬菜罐头加工线	
0002003700070003	23773	水产品罐头加工线	
000200370009	2379	其他食品工业专用设备	
0002003700090001	23791	饮食炊事机械	
0002003700090002	23792	厨房设备	
00020038	238	饮料加工设备	
000200380001	2381	酿酒设备	
0002003800010001	23811	通用酿酒设备	
0002003800010002	23812	啤酒制造设备	
0002003800010003	23813	白酒制造设备	
0002003800010004	23814	黄酒制造设备	
0002003800010005	23815	果酒制造设备	
0002003800010006	23816	食用酒精制造设备	
0002003800010009	23819	其他酿酒设备	
000200380002	2382	饮料加工机械	
0002003800020001	23821	冷饮机械	
0002003800020002	23822	软饮料设备	
0002003800020003	23823	咖啡可可加工机械	
000200380003	2383	茶叶加工机械	
0002003800030001	23831	通用茶叶加工设备	
0002003800030002	23832	专用茶叶加工设备	
0002003800090000	23890	其他饮料加工机械	
00020039	239	烟草加工设备	
000200390001	2391	烟叶处理和烟丝生产设备	
0002003900010001	23911	烟叶处理设备	
0002003900010002	23912	烟丝生产设备	
000200390002	2392	卷制接嘴包装设备	
0002003900020001	23921	卷接设备	
0002003900020002	23922	卷烟包装机	
0002003900020009	23929	其他卷制接嘴包装设备	
000200390009	2399	其他烟草加工机械	
0002003900090001	23991	再生烟加工设备	
0002003900090002	23992	滤嘴加工设备	
0002003900090009	23999	其他未予分类的烟草加工设备	
00020040	240	粮油作物和饲料加工设备	
000200400001	2401	通用清理机械	
0002004000010001	24011	筛	
0002004000010002	24012	去石机	
000200400002	2402	碾米机械	
0002004000020001	24021	原料清理设备	
0002004000020002	24022	脱壳分离设备	
0002004000020003	24023	碾米和涮米机械	
0002004000020004	24024	联合碾米设备	
0002004000020005	24025	玉米加工设备	
0002004000020009	24029	其他碾米机械	
000200400003	2403	面粉加工机械	
0002004000030001	24031	原料清理设备	
0002004000030002	24032	磨粉设备	
0002004000030003	24033	筛粉机	
0002004000030004	24034	清粉机	
0002004000030005	24035	松粉机	
0002004000030006	24036	撞击机	
0002004000030007	24037	打麸机刷麸机	
0002004000030009	24039	其他面粉加工机械	
000200400004	2404	榨油机械	
0002004000040001	24041	原料清理设备	
0002004000040002	24042	压胚软化设备	
0002004000040003	24043	压饼机	
0002004000040004	24044	榨油机	
0002004000040005	24045	蒸炒锅	
0002004000040009	24049	其他榨油机械	
000200400005	2405	油脂浸出机械	
0002004000050001	24051	浸出器	
0002004000050002	24052	蒸发器	
0002004000050003	24053	汽堤塔	
0002004000050004	24054	脱溶机	
0002004000050005	24055	脱臭机	
0002004000050006	24056	蒸脱机	
0002004000050007	24057	烘干机和干燥机	
0002004000050008	24058	尾气吸收装置	
0002004000050009	24059	其他油脂浸出机械	
000200400006	2406	油脂精炼设备	
0002004000060001	24061	锅	
0002004000060002	24062	脱臭塔脱臭炉	
0002004000060003	24063	油碱比配机	
0002004000060004	24064	混合机械	
0002004000060005	24065	罐	
0002004000060006	24066	油液捕集器	
0002004000060009	24069	其他油脂精炼设备	
000200400007	2407	饲料加工设备	
0002004000070001	24071	混合及配料设备	
0002004000070002	24072	颗粒压制设备	
0002004000070003	24073	饲料加工机械及机组	
0002004000070009	24079	其他饲料加工机械	
000200400009	2409	其他粮油作物和饲料加工机械	
0002004000090001	24091	食品油脂加工设备	
00020041	241	纺织设备	
000200410001	2411	化纤机械	
0002004100010001	24111	抽丝设备	
0002004100010002	24112	维纶设备	
0002004100010003	24113	腈纶设备	
0002004100010004	24114	涤纶锦纶设备	
0002004100010005	24115	丙纶设备	
0002004100010007	24117	纤维素纤维设备	
0002004100010009	24119	其他化纤机械	
000200410002	2412	棉纺织机械	
0002004100020001	24121	棉开松设备	
0002004100020002	24122	分梳并条机械	
0002004100020003	24123	纱机	
0002004100020004	24124	纺纱机	
0002004100020005	24125	捻线机	
0002004100020006	24126	棉纱处理设备	
0002004100020007	24127	织机	
0002004100020009	24129	其他棉纺织机械	
000200410003	2413	毛纺织机械	
0002004100030001	24131	毛处理设备	
0002004100030002	24132	毛条设备	
0002004100030003	24133	毛纺设备	
0002004100030004	24134	捻机	
0002004100030005	24135	毛纱处理设备	
0002004100030006	24136	毛织机	
0002004100030007	24137	绒线设备	
0002004100030009	24139	其他毛纺织机械	
000200410004	2414	麻纺织机械	
0002004100040001	24141	麻处理设备	
0002004100040002	24142	分梳并条机	
0002004100040003	24143	麻纺机	
0002004100040004	24144	麻织机	
0002004100040009	24149	其他麻纺织机械	
000200410005	2415	丝绸及绢纺机械	
0002004100050001	24151	准备设备	
0002004100050002	24152	缫丝设备	
0002004100050003	24153	丝织设备	
0002004100050004	24154	绢纺设备	
0002004100050005	24155	抽丝纱设备	
0002004100050009	24159	其他丝绸及绢纺机械	
000200410006	2416	针织机械	
0002004100060001	24161	经编针织机和纬编针织机	
0002004100060002	24162	编结机	
0002004100060003	24163	横机和圆机	
0002004100060004	24164	罗纹机	
0002004100060005	24165	汗布机，汗绒布两用机和床单织机	
0002004100060006	24166	毛巾织机围巾织机和手帕织机	
0002004100060007	24167	织袜机织手套机	
0002004100060009	24169	其他针织机械	
000200410007	2417	染整机械	
0002004100070001	24171	印染后整理设备	
0002004100070002	24172	针织品染色整理设备	
0002004100070003	24173	棉布印染设备	
0002004100070004	24174	毛织品染色整理设备	
0002004100070005	24175	纱线染色设备	
0002004100070006	24176	丝织品染色整理设备	
000200410009	2419	其他纺织机械	
0002004100090001	24191	非织造织物设备	
0002004100090002	24192	毛毯加工机械	
00020042	242	缝纫服饰制革和毛皮加工设备	
000200420001	2421	缝纫机	
0002004200010001	24211	民用缝纫机	
0002004200010003	24213	工业缝纫机	
000200420002	2422	服装加工机械	
0002004200020001	24221	裁剪机械	
0002004200020002	24222	粘合机和压胶机	
0002004200020003	24223	制领机械	
0002004200020004	24224	整烫设备	
0002004200020005	24225	大臼扣机	
0002004200020006	24226	服装打号码机和商标机	
0002004200020009	24229	其他服装加工机械	
000200420003	2423	羽绒加工设备	
0002004200030001	24231	预分机	
0002004200030002	24232	除灰机	
0002004200030003	24233	洗毛机	
0002004200030004	24234	脱水机和烘毛机	
0002004200030005	24235	分毛机	
0002004200030006	24236	冷却机	
0002004200030007	24237	拼堆机	
0002004200030009	24239	其他羽绒加工设备	
000200420004	2424	制鞋机械	
0002004200040001	24241	下料片帮机械	
0002004200040002	24242	缝外线机和缝内线机	
0002004200040003	24243	胶粘机压合机和绷机	
0002004200040004	24244	成型机	
0002004200040005	24245	钉鞋眼机	
0002004200040006	24246	烫平机械	
0002004200040009	24249	其他制鞋机械	
0002004200050000	24250	制帽机械	
000200420006	2426	制革机械	
0002004200060001	24261	制革准备机械	
0002004200060002	24262	磨革机打光机	
0002004200060003	24263	拉伸平展机械　	
0002004200060005	24265	干燥机	
0002004200060006	24266	烫革机械	
0002004200060007	24267	皮革轧花机	
0002004200060009	24269	其他制革机械	
000200420007	2427	毛皮加工机械	
0002004200070001	24271	毛皮去肉机	
0002004200070002	24272	剪毛机烫毛机梳毛机	
0002004200070003	24273	干铲机	
0002004200070004	24274	毛皮挤油机和刷酸机	
0002004200070005	24275	毛皮削匀机	
0002004200070006	24276	毛皮拉伸机	
0002004200070009	24279	其他毛皮加工机械	
000200420008	2428	皮革制品加工机械	
0002004200080001	24281	皮箱接头机	
0002004200080009	24289	其他皮革制品加工机械	
0002004200090000	24290	其他缝纫服饰制革和毛皮加工机械	
00020043	243	造纸和印刷机械	
000200430001	2431	造纸机械	
0002004300010001	24311	制浆设备和打浆设备	
0002004300010002	24312	洗浆机械	
0002004300010003	24313	筛选和漂白设备	
0002004300010005	24315	造纸机　	
0002004300010006	24316	造纸完成机械	
0002004300010007	24317	加工纸设备	
0002004300010008	24318	造纸辅机	
0002004300010009	24319	其他造纸机械	
000200430002	2432	印刷机械	
0002004300020001	24321	图像制版机械	
0002004300020002	24322	文字制版机械	
0002004300020003	24323	印刷机	
0002004300020004	24324	装订机械	
0002004300020008	24328	辅助设备	
0002004300020009	24329	其他印刷机械	
000200430003	2433	造纸和印刷用切纸机械	
0002004300030001	24331	造纸纵切机	
0002004300030002	24332	切纸机	
0002004300030003	24333	切割机	
0002004300030004	24334	盘纸分切机	
0002004300030005	24335	切蜡光纸机	
0002004300030006	24336	裁纸机	
0002004300030009	24339	其他造纸和印刷用切纸机械	
0002004300090000	24390	其他造纸和印刷机械	
00020044	244	化学药品和中成药制炼设备	
000200440001	2441	化学原料药加工机械	
0002004400010001	24411	摇瓶机	
0002004400010002	24412	结晶设备	
0002004400010003	24413	发酵设备	
0002004400010009	24419	其他化学原料药加工机械	
000200440002	2442	制剂机械	
0002004400020001	24421	片剂机械	
0002004400020002	24422	水针机械	
0002004400020003	24423	粉针机械	
0002004400020004	24424	大输液机械	
0002004400020005	24425	酊水糖浆剂设备	
0002004400020006	24426	药膜机械	
0002004400020007	24427	软膏机械	
0002004400020008	24428	胶囊设备	
0002004400020009	24429	其他制剂机械	
000200440003	2443	中药制炼机械	
0002004400030001	24431	前处理机械	
0002004400030002	24432	提取设备	
0002004400030003	24433	反应提取锅	
0002004400030009	24439	其他中药制炼机械	
000200440004	2444	药瓶洗理机械	
0002004400040001	24441	洗瓶机	
0002004400040002	24442	理瓶机	
0002004400040003	24443	供瓶机	
0002004400040004	24444	输瓶机	
0002004400040009	24449	其他药瓶洗理机械	
000200440005	2445	药用干燥设备	
0002004400050001	24451	真空干燥设备	
0002004400050002	24452	喷雾干燥设备	
0002004400050003	24453	气流干燥设备	
0002004400050004	24454	沸腾干燥设备	
0002004400050005	24455	冷冻干燥设备	
0002004400050006	24456	热风干燥设备	
0002004400050007	24457	双锥干燥设备	
0002004400050008	24458	中药干燥设备	
0002004400050009	24459	其他药用干燥设备	
000200440006	2446	制药蒸发设备和浓缩设备	
0002004400060001	24461	标准式蒸发器	
0002004400060002	24462	薄膜式蒸发器	
0002004400060003	24463	刮板式蒸发器	
0002004400060004	24464	浓缩设备	
0002004400060005	24465	列管式蒸发器	
0002004400060006	24466	离心薄膜蒸发器	
000200440007	2447	药品专用包装机械	
0002004400070001	24471	片丸药瓶装机械	
0002004400070002	24472	胶囊分装机械	
000200440008	2448	粉碎筛粉设备	
0002004400080001	24481	粉碎设备	
0002004400080002	24482	磨粉设备	
0002004400080003	24483	球磨机	
0002004400080004	24484	胶体磨设备	
0002004400080005	24485	圆盘粉筛机	
0002004400080006	24486	金钢砂磨设备	
0002004400080009	24489	其他粉碎筛粉设备	
0002004400090000	24490	其他化学药品和中成药制炼机械	
00020045	245	医疗器械	
000200450001	2451	手术器械和注射穿刺器械	
0002004500010001	24511	手术器械	
0002004500010002	24512	中医器械	
0002004500010003	24513	注射穿刺器械	
0002004500010004	24514	冷疗器械	
0002004500010009	24519	其他手术器械和注射穿刺器械	
000200450002	2452	诊察器械及诊断治疗仪器	
0002004500020001	24521	普通诊察器械	
0002004500020002	24522	医用电子仪器	
0002004500020003	24523	医用光学仪器及光学窥镜	
0002004500020004	24524	医用超声仪器及设备	
0002004500020005	24525	医用激光仪器及设备	
0002004500020006	24526	医用高频仪器及设备	
0002004500020007	24527	物理体育治疗仪器及中医仪器设备	
0002004500020008	24528	医用磁共振设备	
0002004500020009	24529	其他诊察器械及诊断治疗仪器	
000200450003	2453	医用射线设备	
0002004500030001	24531	医用X线设备	
0002004500030002	24532	医用X线附属设备	
0002004500030003	24533	医用核素设备	
0002004500030004	24534	医用高能射线设备	
0002004500030005	24535	医用射线防护用具及装置	
0002004500030009	24539	其他医用射线设备及用具	
000200450004	2454	医用临床及实验室检验分析仪器和设备	
0002004500040001	24541	医用生化分析仪器	
0002004500040002	24542	医用化验设备及器具	
0002004500040003	24543	免疫分析仪器及设备	
0002004500040004	24544	微生物细菌分析仪器及设备	
0002004500040005	24545	基因和生命科学仪器	
000200450005	2455	体外循环人工脏器假肢设备及装置	
0002004500050001	24551	体外循环设备	
0002004500050002	24552	人工脏器及功能辅助装置	
0002004500050003	24553	假肢装置	
000200450006	2456	手术急救诊察病房消毒室设备	
0002004500060001	24561	手术室急救室诊察室设备及器具	
0002004500060002	24562	病房护理设备及器具	
0002004500060003	24563	消毒室供应室设备及器具	
000200450007	2457	口腔设备及医疗用灯	
0002004500070001	24571	口腔科设备及技工室器具	
0002004500070002	24572	医疗用灯	
0002004500080000	24580	兽医器械	
0002004500080001	24581	兽医用产科及阉割器械	
0002004500080002	24582	兽医用诊断及防治器械	
0002004500080003	24583	兽医用外科手术解剖器械	
0002004500080004	24584	兽医用眼齿颅蹄科器械	
0002004500080005	24585	兽医用冷精人工配种器械	
0002004500080009	24589	其他兽医用器械	
000200450009	2459	其他医疗器械	
00020046	246	其他行业专用设备	
000200460001	2461	邮政专用设备	
0002004600010001	24611	邮政内部处理设备	
0002004600010002	24612	邮政营业投递设备	
0002004600010003	24613	邮政除尘设备	
0002004600010004	24614	邮袋清洗缝补设备	
0002004600010005	24615	邮政储汇设备	
0002004600010009	24619	其他邮政专用设备	
000200460002	2462	环境污染防治设备	
0002004600020001	24621	大气污染防治设备	
0002004600020002	24622	水质污染防治设备	
0002004600020003	24623	固体废弃物处理设备	
0002004600020004	24624	噪声控制设备	
0002004600020005	24625	环保监测设备	
0002004600020006	24626	金属废料回收设备	
0002004600020007	24627	非金属废料回收设备	
0002004600020009	24629	其他环境污染防治设备	
000200460003	2463	公安消防设备	
0002004600030001	24631	消防器材	
0002004600030002	24632	交通管理器材	
0002004600030003	24633	取证鉴定器材	
0002004600030004	24634	安全检查监视报警器材	
0002004600030006	24636	警械	
0002004600030007	24637	防护装备	
0002004600030008	24638	边检设备	
0002004600030009	24639	其他公安消防设备及器材	
000200460004	2464	文化办公设备	
0002004600040001	24641	电影设备	
0002004600040002	24642	教学设备	
0002004600040003	24643	照相机及器材	
0002004600040004	24644	复印机械及器材	
0002004600040005	24645	缩微机械	
0002004600040006	24646	会计及制图设备	
0002004600040007	24647	打字油印机械	
0002004600040009	24649	其他文化办公设备	
000200460005	2465	商业服务机械	
0002004600050001	24651	售粮机械	
0002004600050002	24652	售油机械	
0002004600050003	24653	液体售货机械	
0002004600050004	24654	餐具洗涤机械	
0002004600050009	24659	其他商业服务机械	
000200460006	2466	水工机械	
0002004600060001	24661	清淤机械	
0002004600060002	24662	破冰机械	
